Date,Time-series Factor Momentum
9/1/94,0.012102373
10/1/94,-0.000793093
11/1/94,0.002848712
12/1/94,0.009705475
1/1/95,0.004462146
2/1/95,-0.000369576
3/1/95,0.00281443
4/1/95,0.009473561
5/1/95,0.008320858
6/1/95,-0.014810521
7/1/95,0.002397525
8/1/95,-0.00145054
9/1/95,0.002127468
10/1/95,0.022281256
11/1/95,-0.007074222
12/1/95,0.008968834
1/1/96,0.00659961
2/1/96,0.003710017
3/1/96,-0.005458098
4/1/96,-0.018188912
5/1/96,0.008887281
6/1/96,0.016327253
7/1/96,0.025175133
8/1/96,-0.00829637
9/1/96,-0.002598605
10/1/96,0.032736677
11/1/96,0.017668723
12/1/96,0.008256748
1/1/97,0.021306127
2/1/97,0.025657454
3/1/97,0.014528714
4/1/97,0.028654457
5/1/97,-0.030024805
6/1/97,0.010541579
7/1/97,0.011221274
8/1/97,-0.002188244
9/1/97,-0.004206378
10/1/97,0.007254408
11/1/97,0.02374758
12/1/97,0.019911829
1/1/98,0.004326363
2/1/98,0.002813538
3/1/98,-0.005552445
4/1/98,0.001471038
5/1/98,0.013059546
6/1/98,0.007529106
7/1/98,0.024730386
8/1/98,0.036583442
9/1/98,-0.001624187
10/1/98,-0.013692885
11/1/98,-0.001754399
12/1/98,0.012501663
1/1/99,0.002261895
2/1/99,0.000210437
3/1/99,-0.009937736
4/1/99,-0.029095372
5/1/99,0.003325202
6/1/99,0.001611017
7/1/99,0.007968431
8/1/99,0.022103131
9/1/99,-0.003203531
10/1/99,0.030912387
11/1/99,0.013941597
12/1/99,0.053419591
1/1/00,0.017931593
2/1/00,0.0465522
3/1/00,-0.035094775
4/1/00,-0.053163333
5/1/00,0.012626954
6/1/00,-0.019710359
7/1/00,0.02433065
8/1/00,-0.005983013
9/1/00,0.025466028
10/1/00,0.042801891
11/1/00,0.06490739
12/1/00,0.032254189
1/1/01,-0.055267154
2/1/01,0.089666783
3/1/01,0.061982933
4/1/01,-0.029347114
5/1/01,0.021813802
6/1/01,0.01880292
7/1/01,0.034026683
8/1/01,0.046939278
9/1/01,0.02561627
10/1/01,-0.02154248
11/1/01,-0.017523311
12/1/01,0.012893843
1/1/02,0.04039059
2/1/02,0.042227449
3/1/02,0.006018098
4/1/02,0.051510583
5/1/02,0.024626838
6/1/02,0.030150233
7/1/02,0.009476209
8/1/02,0.010749825
9/1/02,0.014475227
10/1/02,-0.021639318
11/1/02,-0.028121171
12/1/02,0.026157941
1/1/03,-0.002961945
2/1/03,0.005184826
3/1/03,0.002061652
4/1/03,-0.012238728
5/1/03,-0.0267818
6/1/03,-0.00487042
7/1/03,0.024803119
8/1/03,0.019030688
9/1/03,0.007729193
10/1/03,0.014265297
11/1/03,0.010744804
12/1/03,0.007760504
1/1/04,0.008538211
2/1/04,0.001732625
3/1/04,0.011754411
4/1/04,-0.01689659
5/1/04,0.003088695
6/1/04,0.012348733
7/1/04,0.023193105
8/1/04,0.009417327
9/1/04,-0.002125262
10/1/04,-0.00051846
11/1/04,0.01343773
12/1/04,-0.002536319
1/1/05,0.023064761
2/1/05,0.016161477
3/1/05,0.0006101
4/1/05,-0.009030819
5/1/05,-0.003492863
6/1/05,0.013718706
7/1/05,0.002588921
8/1/05,0.002392641
9/1/05,0.00938253
10/1/05,-0.003813839
11/1/05,0.001344616
12/1/05,-0.001481308
1/1/06,-0.005390172
2/1/06,-0.007368802
3/1/06,0.007580613
4/1/06,0.011539094
5/1/06,0.001653318
6/1/06,0.005117841
7/1/06,0.01267411
8/1/06,-0.004858938
9/1/06,0.005090218
10/1/06,-0.002807322
11/1/06,0.00567235
12/1/06,0.004877097
1/1/07,-0.000478113
2/1/07,-0.00242592
3/1/07,0.001987953
4/1/07,0.008968692
5/1/07,0.000367047
6/1/07,0.004476522
7/1/07,0.004097522
8/1/07,-0.002909378
9/1/07,0.004389326
10/1/07,0.011681087
11/1/07,0.005891015
12/1/07,0.018571846
1/1/08,-0.035232714
2/1/08,0.022929545
3/1/08,0.036156262
4/1/08,0.016141451
5/1/08,0.026317927
6/1/08,0.048640182
